id,persona_id,tipo_autor_id,proyecto_ley_id,created_at,updated_at,activo,usercreated,usermodifed
27994,51,114,6432,12-09-11 17:14,12-09-11 17:14,1,NA,NA
27995,140,114,6432,12-09-11 17:15,12-09-11 17:15,1,NA,NA
27996,41,114,3661,12-09-11 18:37,12-09-11 18:37,1,NA,NA
27997,21,114,3643,12-09-11 18:38,12-09-11 18:38,1,NA,NA
27998,165,114,3577,12-09-11 18:42,12-09-11 18:42,1,NA,NA
27999,5,114,3575,12-09-11 18:43,12-09-11 18:43,1,NA,NA
28008,25,114,3471,12-09-11 18:57,12-09-11 18:57,1,NA,NA
28009,5,114,3471,12-09-11 18:57,12-09-11 18:57,1,NA,NA
28013,25,114,3407,12-09-11 19:04,12-09-11 19:04,1,NA,NA
28014,26,114,3407,12-09-11 19:04,12-09-11 19:04,1,NA,NA
28016,83,114,3357,12-09-11 19:06,12-09-11 19:06,1,NA,NA
28028,77,114,3134,12-09-11 19:43,12-09-11 19:43,1,NA,NA
28029,83,114,3134,12-09-11 19:43,12-09-11 19:43,1,NA,NA
28030,33,114,3029,12-09-11 19:44,12-09-11 19:44,1,NA,NA
28031,25,114,3029,12-09-11 19:45,12-09-11 19:45,1,NA,NA
28035,83,114,2806,12-09-11 19:52,12-09-11 19:52,1,NA,NA
28036,25,114,2804,12-09-11 19:53,12-09-11 19:53,1,NA,NA
28037,68,114,2804,12-09-11 19:54,12-09-11 19:54,1,NA,NA
28038,7,114,2782,12-09-11 19:58,12-09-11 19:58,1,NA,NA
28042,5,114,2691,12-09-11 20:05,12-09-11 20:05,1,NA,NA
28044,41,114,2607,12-09-11 20:09,12-09-11 20:09,1,NA,NA
28045,83,114,2587,12-09-11 20:10,12-09-11 20:10,1,NA,NA
28046,25,114,2587,12-09-11 20:10,12-09-11 20:10,1,NA,NA
28047,77,114,2582,12-09-11 20:11,12-09-11 20:11,1,NA,NA
28063,23,114,2047,12-09-11 20:30,12-09-11 20:30,1,NA,NA
28064,120,114,2047,12-09-11 20:30,12-09-11 20:30,1,NA,NA
28065,126,114,2048,12-09-11 20:37,12-09-11 20:37,1,NA,NA
28066,120,114,2048,12-09-11 20:38,12-09-11 20:38,1,NA,NA
28067,23,114,2049,12-09-11 20:39,12-09-11 20:39,1,NA,NA
28068,145,114,2049,12-09-11 20:39,12-09-11 20:39,1,NA,NA
28069,23,114,2050,12-09-11 20:40,12-09-11 20:40,1,NA,NA
28070,23,114,2051,12-09-11 20:41,12-09-11 20:41,1,NA,NA
28071,141,114,2051,12-09-11 20:41,12-09-11 20:41,1,NA,NA
28072,23,114,2052,12-09-11 20:42,12-09-11 20:42,1,NA,NA
28073,143,114,2052,12-09-11 20:42,12-09-11 20:42,1,NA,NA
28074,23,114,2053,12-09-11 20:43,12-09-11 20:43,1,NA,NA
28075,120,114,2053,12-09-11 20:43,12-09-11 20:43,1,NA,NA
28076,120,114,2054,12-09-11 20:44,12-09-11 20:44,1,NA,NA
28077,23,114,2054,12-09-11 20:44,12-09-11 20:44,1,NA,NA
28078,23,114,2055,12-09-11 20:45,12-09-11 20:45,1,NA,NA
28079,150,114,2055,12-09-11 20:45,12-09-11 20:45,1,NA,NA
28080,23,114,2056,12-09-11 20:46,12-09-11 20:46,1,NA,NA
28081,150,114,2056,12-09-11 20:46,12-09-11 20:46,1,NA,NA
28082,23,114,2057,12-09-11 20:47,12-09-11 20:47,1,NA,NA
28083,151,114,2057,12-09-11 20:47,12-09-11 20:47,1,NA,NA
28084,147,114,2057,12-09-11 20:48,12-09-11 20:48,1,NA,NA
28085,84,114,6435,12-09-11 21:01,12-09-11 21:01,1,NA,NA
28086,23,114,2060,12-09-11 21:03,12-09-11 21:03,1,NA,NA
28087,145,114,2060,12-09-11 21:03,12-09-11 21:03,1,NA,NA
28088,10,114,2071,12-09-11 21:04,12-09-11 21:04,1,NA,NA
28089,126,114,2072,12-09-11 21:05,12-09-11 21:05,1,NA,NA
28090,120,114,2072,12-09-11 21:06,12-09-11 21:06,1,NA,NA
28096,159,114,2131,12-09-11 21:16,12-09-11 21:16,1,NA,NA
28098,68,114,2149,12-09-11 21:17,12-09-11 21:17,1,NA,NA
28100,68,114,2152,12-09-11 21:19,12-09-11 21:19,1,NA,NA
28102,159,114,2173,12-09-11 21:32,12-09-11 21:32,1,NA,NA
28103,83,114,2174,12-09-11 21:33,12-09-11 21:33,1,NA,NA
28105,159,114,2178,12-09-11 21:49,12-09-11 21:49,1,NA,NA
28106,88,114,2178,12-09-11 21:49,12-09-11 21:49,1,NA,NA
28107,26,114,2188,12-09-11 21:51,12-09-11 21:51,1,NA,NA
28108,88,114,2188,12-09-11 21:52,12-09-11 21:52,1,NA,NA
28109,68,114,2189,12-09-11 21:52,12-09-11 21:52,1,NA,NA
28110,26,114,2202,12-09-11 21:54,12-09-11 21:54,1,NA,NA
28111,159,114,2202,12-09-11 21:54,12-09-11 21:54,1,NA,NA
28112,26,114,2203,12-09-11 21:54,12-09-11 21:54,1,NA,NA
28113,88,114,2203,12-09-11 21:55,12-09-11 21:55,1,NA,NA
28114,26,114,2204,12-09-11 21:56,12-09-11 21:56,1,NA,NA
28115,88,114,2204,12-09-11 21:56,12-09-11 21:56,1,NA,NA
28118,159,114,2218,12-09-11 21:59,12-09-11 21:59,1,NA,NA
28119,88,114,2218,12-09-11 21:59,12-09-11 21:59,1,NA,NA
28120,159,114,2226,12-09-11 22:01,12-09-11 22:01,1,NA,NA
28125,80,114,2238,12-09-11 22:05,12-09-11 22:05,1,NA,NA
28126,166,114,2240,12-09-11 22:06,12-09-11 22:06,1,NA,NA
28128,25,114,2247,12-09-11 22:08,12-09-11 22:08,1,NA,NA
28131,77,114,2270,12-09-11 22:11,12-09-11 22:11,1,NA,NA
28132,159,114,2276,12-09-11 22:12,12-09-11 22:12,1,NA,NA
28133,5,114,2276,12-09-11 22:12,12-09-11 22:12,1,NA,NA
28137,83,114,2310,12-09-11 22:16,12-09-11 22:16,1,NA,NA
28138,167,114,2310,12-09-11 22:20,12-09-11 22:20,1,NA,NA
28139,26,114,2315,12-09-11 22:21,12-09-11 22:21,1,NA,NA
28140,5,114,2315,12-09-11 22:21,12-09-11 22:21,1,NA,NA
28142,83,114,2411,12-09-11 22:24,12-09-11 22:24,1,NA,NA
28143,3,114,2432,12-09-11 22:25,12-09-11 22:25,1,NA,NA
28144,5,114,2432,12-09-11 22:25,12-09-11 22:25,1,NA,NA
28147,21,114,2481,12-09-11 22:27,12-09-11 22:27,1,NA,NA
28148,25,114,2503,12-09-11 22:28,12-09-11 22:28,1,NA,NA
28149,7,114,2503,12-09-11 22:29,12-09-11 22:29,1,NA,NA
28150,5,114,2518,12-09-11 22:30,12-09-11 22:30,1,NA,NA
28153,125,114,3913,13-09-11 14:33,13-09-11 14:33,1,NA,NA
28155,72,114,6436,13-09-11 15:14,13-09-11 15:14,1,NA,NA
28181,51,114,6439,19-09-11 16:31,19-09-11 16:31,1,NA,NA
28182,157,114,6439,19-09-11 16:31,19-09-11 16:31,1,NA,NA
28183,51,114,6440,19-09-11 16:56,19-09-11 16:56,1,NA,NA
28184,53,114,6440,19-09-11 16:56,19-09-11 16:56,1,NA,NA
28203,157,114,6444,19-09-11 19:39,19-09-11 19:39,1,NA,NA
28208,168,114,6448,21-09-11 22:23,21-09-11 22:23,1,NA,NA
28237,157,114,6465,03-10-11 15:44,03-10-11 15:44,1,NA,NA
28238,157,114,6466,03-10-11 19:35,03-10-11 19:35,1,NA,NA
28239,169,114,6466,03-10-11 19:45,03-10-11 19:45,1,NA,NA
28254,140,114,6470,03-10-11 21:18,03-10-11 21:18,1,NA,NA
28307,163,114,6475,07-10-11 18:49,07-10-11 18:49,1,NA,NA
28314,164,114,6480,14-10-11 15:44,14-10-11 15:44,1,NA,NA
28332,65,114,6490,19-10-11 18:57,19-10-11 18:57,1,NA,NA
28333,170,114,6490,19-10-11 18:59,19-10-11 18:59,1,NA,NA
28334,65,114,6491,19-10-11 19:15,19-10-11 19:15,1,NA,NA
28338,65,114,6494,26-10-11 16:11,26-10-11 16:11,1,NA,NA
28339,65,114,6495,26-10-11 16:52,26-10-11 16:52,1,NA,NA
28354,171,114,6497,31-10-11 15:44,31-10-11 15:44,1,NA,NA
28355,172,114,6497,31-10-11 15:47,31-10-11 15:47,1,NA,NA
28357,157,114,6499,04-11-11 16:06,04-11-11 16:06,1,NA,NA
28358,51,114,6499,04-11-11 16:06,04-11-11 16:06,1,NA,NA
28359,51,114,6500,04-11-11 16:15,04-11-11 16:15,1,NA,NA
28360,69,114,6500,04-11-11 16:16,04-11-11 16:16,1,NA,NA
28361,55,114,6500,04-11-11 16:16,04-11-11 16:16,1,NA,NA
28372,157,114,6505,08-11-11 15:29,08-11-11 15:29,1,NA,NA
28373,52,114,6506,08-11-11 20:08,08-11-11 20:08,1,NA,NA
28374,173,114,6506,08-11-11 20:12,08-11-11 20:12,1,NA,NA
28419,69,114,6514,21-11-11 16:37,21-11-11 16:37,1,NA,NA
28420,69,114,6515,21-11-11 16:46,21-11-11 16:46,1,NA,NA
28423,157,114,6518,25-11-11 15:11,25-11-11 15:11,1,NA,NA
28429,51,114,6522,28-11-11 15:10,28-11-11 15:10,1,NA,NA
28430,171,114,6522,28-11-11 15:10,28-11-11 15:10,1,NA,NA
28431,51,114,6523,28-11-11 15:24,28-11-11 15:24,1,NA,NA
28432,174,114,6523,28-11-11 15:25,28-11-11 15:25,1,NA,NA
28433,51,114,6524,28-11-11 15:42,28-11-11 15:42,1,NA,NA
28434,52,114,6524,28-11-11 15:43,28-11-11 15:43,1,NA,NA
28435,51,114,6525,28-11-11 15:53,28-11-11 15:53,1,NA,NA
28436,156,114,6525,28-11-11 15:54,28-11-11 15:54,1,NA,NA
28437,51,114,6526,28-11-11 16:05,28-11-11 16:05,1,NA,NA
28438,156,114,6526,28-11-11 16:05,28-11-11 16:05,1,NA,NA
28457,164,114,6532,02-12-11 19:46,02-12-11 19:46,1,NA,NA
28462,145,114,6535,07-12-11 21:13,07-12-11 21:13,1,NA,NA
28467,51,114,6540,12-12-11 16:48,12-12-11 16:48,1,NA,NA
28468,69,114,6540,12-12-11 16:48,12-12-11 16:48,1,NA,NA
28473,126,114,6543,15-12-11 17:46,15-12-11 17:46,1,NA,NA
28486,126,114,6547,12-01-12 20:33,12-01-12 20:33,1,NA,NA
28496,145,114,6554,13-01-12 20:40,13-01-12 20:40,1,NA,NA
28497,120,114,6555,13-01-12 21:40,13-01-12 21:40,1,NA,NA
28503,147,114,6561,01-02-12 21:39,01-02-12 21:39,1,NA,NA
28504,126,114,6562,02-02-12 14:47,02-02-12 14:47,1,NA,NA
28505,141,114,6562,02-02-12 14:47,02-02-12 14:47,1,NA,NA
28506,126,114,6563,02-02-12 15:17,02-02-12 15:17,1,NA,NA
28508,132,114,6565,02-02-12 16:49,02-02-12 16:49,1,NA,NA
28509,143,114,6566,02-02-12 18:54,02-02-12 18:54,1,NA,NA
28543,145,114,6568,02-02-12 19:52,02-02-12 19:52,1,NA,NA
28576,55,114,6585,20-03-12 16:15,20-03-12 16:15,1,NA,NA
28577,174,114,6586,20-03-12 16:37,20-03-12 16:37,1,NA,NA
28578,175,114,6586,20-03-12 16:39,20-03-12 16:39,1,NA,NA
28579,176,114,6587,20-03-12 16:56,20-03-12 16:56,1,NA,NA
28584,177,114,6585,20-03-12 18:53,20-03-12 18:53,1,NA,NA
28585,157,114,6592,22-03-12 3:20,22-03-12 3:20,1,NA,NA
28586,55,114,6592,22-03-12 3:20,22-03-12 3:20,1,NA,NA
28587,140,114,6592,22-03-12 3:21,22-03-12 3:21,1,NA,NA
28608,157,114,6632,23-03-12 16:17,23-03-12 16:17,1,NA,NA
28609,163,114,6634,23-03-12 16:26,23-03-12 16:26,1,NA,NA
28640,51,114,6649,27-03-12 15:45,27-03-12 15:45,1,NA,NA
28641,156,114,6649,27-03-12 15:45,27-03-12 15:45,1,NA,NA
28642,51,114,6650,27-03-12 15:50,27-03-12 15:50,1,NA,NA
28643,156,114,6650,27-03-12 15:50,27-03-12 15:50,1,NA,NA
28644,51,114,6651,27-03-12 15:54,27-03-12 15:54,1,NA,NA
28645,156,114,6651,27-03-12 15:55,27-03-12 15:55,1,NA,NA
28757,178,114,6708,25-04-12 15:11,25-04-12 15:11,1,NA,NA
28769,157,114,6710,27-04-12 15:06,27-04-12 15:06,1,NA,NA
