id|votacion_id|corporacion_id|tipo_comision_id|comision_id|activo|usercreated|usermodifed|created_at|updated_at
5464|7108|1|1|6|1|NA|NA|NA|NA
5465|7109|1|1|6|1|NA|NA|NA|NA
5466|7110|1|1|6|1|NA|NA|NA|NA
5470|7112|NA|1|6|1|NA|NA|NA|NA
5471|7111|NA|1|6|1|NA|NA|NA|NA
5472|7098|2|1|6|1|NA|NA|NA|NA
5474|5803|NA|1|9|1|NA|NA|NA|NA
5477|5804|NA|1|9|1|NA|NA|NA|NA
5478|7114|NA|1|14|1|NA|NA|NA|NA
5479|7113|NA|1|14|1|NA|NA|NA|NA
5480|5805|NA|1|9|1|NA|NA|NA|NA
5482|7099|NA|1|4|1|NA|NA|NA|NA
5483|7020|NA|1|8|1|NA|NA|NA|NA
5488|7122|2|1|1|1|NA|NA|NA|NA
5489|7121|2|1|1|1|NA|NA|NA|NA
5490|7123|2|1|1|1|NA|NA|NA|NA
5491|7124|2|1|1|1|NA|NA|NA|NA
5492|7125|2|1|1|1|NA|NA|NA|NA
5493|7126|2|1|1|1|NA|NA|NA|NA
5495|7128|2|1|1|1|NA|NA|NA|NA
5496|7129|2|1|1|1|NA|NA|NA|NA
5497|7130|2|1|1|1|NA|NA|NA|NA
5498|7131|2|1|1|1|NA|NA|NA|NA
5499|7132|2|1|1|1|NA|NA|NA|NA
5500|7133|2|1|1|1|NA|NA|NA|NA
5501|5031|NA|1|5|1|NA|NA|NA|NA
5502|5984|NA|1|13|1|NA|NA|NA|NA
5503|6354|NA|1|11|1|NA|NA|NA|NA
5504|4833|2|1|13|1|NA|NA|NA|NA
5506|6330|1|1|11|1|NA|NA|NA|NA
5507|6410|2|1|8|1|NA|NA|NA|NA
5508|6410|2|1|10|1|NA|NA|NA|NA
5509|6410|2|1|12|1|NA|NA|NA|NA
5510|6410|2|1|13|1|NA|NA|NA|NA
5511|5920|2|1|13|1|NA|NA|NA|NA
5513|2556|2|1|10|1|NA|NA|NA|NA
5514|2037|1|1|10|1|NA|NA|NA|NA
5516|2039|1|1|10|1|NA|NA|NA|NA
5517|2038|1|1|10|1|NA|NA|NA|NA
5518|2554|NA|1|10|1|NA|NA|NA|NA
5526|7137|NA|1|12|1|NA|NA|NA|NA
5527|7137|NA|1|13|1|NA|NA|NA|NA
5532|7145|2|1|12|1|NA|NA|NA|NA
5533|7145|2|1|13|1|NA|NA|NA|NA
5534|7146|2|1|12|1|NA|NA|NA|NA
5535|7146|2|1|13|1|NA|NA|NA|NA
5536|7144|2|1|12|1|NA|NA|NA|NA
5538|7142|2|1|12|1|NA|NA|NA|NA
5539|7141|2|1|12|1|NA|NA|NA|NA
5540|7140|2|1|12|1|NA|NA|NA|NA
5541|7138|NA|1|12|1|NA|NA|NA|NA
5543|7147|2|1|12|1|NA|NA|NA|NA
5544|7148|2|1|12|1|NA|NA|NA|NA
5545|7149|2|1|12|1|NA|NA|NA|NA
5546|7150|2|1|12|1|NA|NA|NA|NA
5547|7150|2|1|13|1|NA|NA|NA|NA
5550|7151|2|1|12|1|NA|NA|NA|NA
5551|7151|2|1|13|1|NA|NA|NA|NA
5552|7152|2|1|12|1|NA|NA|NA|NA
5553|7152|2|1|13|1|NA|NA|NA|NA
5554|7153|2|1|12|1|NA|NA|NA|NA
5555|7154|2|1|12|1|NA|NA|NA|NA
5556|7155|2|1|12|1|NA|NA|NA|NA
5557|7155|2|1|13|1|NA|NA|NA|NA
5558|7156|2|1|12|1|NA|NA|NA|NA
5559|7156|2|1|13|1|NA|NA|NA|NA
5560|7157|2|1|12|1|NA|NA|NA|NA
5561|7157|2|1|13|1|NA|NA|NA|NA
5562|6076|2|1|1|1|NA|NA|NA|NA
5563|7104|1|1|6|1|NA|NA|NA|NA
5564|7158|2|1|12|1|NA|NA|NA|NA
5565|7158|2|1|13|1|NA|NA|NA|NA
5566|7159|2|1|12|1|NA|NA|NA|NA
5567|7159|2|1|13|1|NA|NA|NA|NA
5570|7161|2|1|12|1|NA|NA|NA|NA
5571|7161|2|1|13|1|NA|NA|NA|NA
5574|7162|2|1|12|1|NA|NA|NA|NA
5575|7162|2|1|13|1|NA|NA|NA|NA
