id|cuatrienio_id|comision_id|congresista_id|cargo_legislativo_id_comision|fecha_inicio|fecha_fin|activo|usercreated|usermodifed|created_at|updated_at
161|1|12|167|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|01-12-2010 18:27
162|6|6|1410|1|20-07-2010|19-07-2011|1|NA|NA|24-08-2010 17:18|24-08-2010 17:18
163|6|6|1923|1|20-07-2010|19-07-2011|1|NA|NA|24-08-2010 17:18|24-08-2010 17:18
164|6|6|2232|1|20-07-2010|19-07-2011|1|NA|NA|24-08-2010 17:18|24-08-2010 17:18
165|6|6|2496|1|20-07-2010|19-07-2011|1|NA|NA|24-08-2010 17:18|24-08-2010 17:18
166|6|2|1800|2|20-07-2010|19-07-2011|1|NA|NA|24-08-2010 17:19|24-08-2010 17:19
167|6|2|2198|2|20-07-2010|19-07-2011|1|NA|NA|24-08-2010 17:19|24-08-2010 17:19
168|6|2|2469|2|20-07-2010|19-07-2011|1|NA|NA|24-08-2010 17:19|24-08-2010 17:19
169|1|7|172|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|01-12-2010 19:24
170|1|9|173|NA|20-07-1998|18-11-2000|1|NA|NA|17-01-2010 17:29|01-12-2010 19:50
171|1|5|209|NA|01-03-2002|19-07-2002|1|NA|NA|17-01-2010 17:29|01-09-2011 14:40
172|1|8|160|NA|02-01-2002|30-04-2002|1|NA|NA|17-01-2010 17:29|01-09-2011 14:47
173|1|8|175|NA|01-01-2000|31-12-2000|1|NA|NA|17-01-2010 17:29|01-09-2011 15:21
174|1|8|639|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|17-03-2010 21:00
175|1|8|1174|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|17-03-2010 21:00
176|1|8|183|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|17-03-2010 21:00
177|1|8|170|NA|01-01-2002|31-03-2002|1|NA|NA|17-01-2010 17:29|01-09-2011 15:23
178|1|10|180|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|01-12-2010 20:50
179|1|7|1434|NA|20-07-1998|19-07-2002|1|NA|NA|02-02-2010 16:21|17-03-2010 21:00
180|1|7|1436|NA|20-07-1998|19-07-2002|1|NA|NA|02-02-2010 16:21|17-03-2010 21:00
181|1|7|1435|NA|20-07-1998|19-07-2002|1|NA|NA|02-02-2010 16:21|17-03-2010 21:00
182|1|8|263|NA|18-11-1999|15-03-2000|1|NA|NA|17-01-2010 17:29|01-09-2011 17:05
183|1|13|182|NA|01-10-1998|31-03-1999|1|NA|NA|17-01-2010 17:29|01-09-2011 16:31
184|1|7|140|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|17-03-2010 21:00
185|1|7|607|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|17-03-2010 21:00
186|1|7|1176|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|17-03-2010 21:00
