id,control_politico_id,congresista_id,activo,usercreated,usermodifed,created_at,updated_at
51239,531,1016,1,NA,NA,NA,NA
51240,531,1388,1,NA,NA,NA,NA
51241,531,1126,1,NA,NA,NA,NA
51246,533,1464,1,NA,NA,NA,NA
51247,533,1762,1,NA,NA,NA,NA
51249,533,1016,1,NA,NA,NA,NA
51250,533,1388,1,NA,NA,NA,NA
51251,533,1126,1,NA,NA,NA,NA
54972,501,1104,1,NA,NA,NA,NA
54973,529,1206,1,NA,NA,NA,NA
54974,502,1469,1,NA,NA,NA,NA
54984,494,1185,1,NA,NA,NA,NA
54985,495,726,1,NA,NA,NA,NA
54986,496,1452,1,NA,NA,NA,NA
54988,492,1822,1,NA,NA,NA,NA
54989,492,992,1,NA,NA,NA,NA
54990,492,962,1,NA,NA,NA,NA
54991,490,1813,1,NA,NA,NA,NA
54993,504,1219,1,NA,NA,NA,NA
54994,497,623,1,NA,NA,NA,NA
54995,497,1468,1,NA,NA,NA,NA
54996,497,1469,1,NA,NA,NA,NA
54997,497,217,1,NA,NA,NA,NA
54998,497,590,1,NA,NA,NA,NA
54999,497,1238,1,NA,NA,NA,NA
55000,493,1469,1,NA,NA,NA,NA
55001,493,1426,1,NA,NA,NA,NA
55010,489,1493,1,NA,NA,NA,NA
55011,488,1563,1,NA,NA,NA,NA
55012,513,1452,1,NA,NA,NA,NA
55013,513,1514,1,NA,NA,NA,NA
55014,513,615,1,NA,NA,NA,NA
55015,446,2073,1,NA,NA,NA,NA
55016,447,1341,1,NA,NA,NA,NA
55017,486,1563,1,NA,NA,NA,NA
55018,486,1694,1,NA,NA,NA,NA
55019,486,1349,1,NA,NA,NA,NA
55020,486,1427,1,NA,NA,NA,NA
55027,485,623,1,NA,NA,NA,NA
55028,485,1679,1,NA,NA,NA,NA
55029,485,1351,1,NA,NA,NA,NA
55049,426,548,1,NA,NA,NA,NA
55050,426,155,1,NA,NA,NA,NA
55051,426,1967,1,NA,NA,NA,NA
55052,426,405,1,NA,NA,NA,NA
55053,510,238,1,NA,NA,NA,NA
55054,510,1679,1,NA,NA,NA,NA
55055,510,1694,1,NA,NA,NA,NA
55056,510,1452,1,NA,NA,NA,NA
55057,510,429,1,NA,NA,NA,NA
55058,510,765,1,NA,NA,NA,NA
55059,510,602,1,NA,NA,NA,NA
55060,510,405,1,NA,NA,NA,NA
55061,510,615,1,NA,NA,NA,NA
55062,510,1497,1,NA,NA,NA,NA
55063,510,1687,1,NA,NA,NA,NA
55064,510,1351,1,NA,NA,NA,NA
55065,510,439,1,NA,NA,NA,NA
55066,510,477,1,NA,NA,NA,NA
55067,510,316,1,NA,NA,NA,NA
55068,510,8,1,NA,NA,NA,NA
55071,1050,1143,1,NA,NA,NA,NA
55072,1050,1422,1,NA,NA,NA,NA
55073,1050,755,1,NA,NA,NA,NA
55074,1050,1676,1,NA,NA,NA,NA
55075,1050,1179,1,NA,NA,NA,NA
55076,1050,815,1,NA,NA,NA,NA
55077,1050,1427,1,NA,NA,NA,NA
55078,1050,1639,1,NA,NA,NA,NA
55079,1050,1193,1,NA,NA,NA,NA
55080,1050,235,1,NA,NA,NA,NA
55081,1050,1237,1,NA,NA,NA,NA
55082,1050,641,1,NA,NA,NA,NA
55083,1050,744,1,NA,NA,NA,NA
55084,1050,615,1,NA,NA,NA,NA
55085,1050,802,1,NA,NA,NA,NA
55086,1050,566,1,NA,NA,NA,NA
55087,1050,1430,1,NA,NA,NA,NA
55088,369,932,1,NA,NA,NA,NA
55089,369,962,1,NA,NA,NA,NA
55090,512,1452,1,NA,NA,NA,NA
55091,506,439,1,NA,NA,NA,NA
55092,506,238,1,NA,NA,NA,NA
55093,506,1185,1,NA,NA,NA,NA
55094,506,1469,1,NA,NA,NA,NA
55095,545,1465,1,NA,NA,NA,NA
55098,549,439,1,NA,NA,NA,NA
55099,549,1185,1,NA,NA,NA,NA
55100,549,1469,1,NA,NA,NA,NA
55101,550,1711,1,NA,NA,NA,NA
55102,550,1393,1,NA,NA,NA,NA
55103,487,1370,1,NA,NA,NA,NA
55130,547,1679,1,NA,NA,NA,NA
55201,546,830,1,NA,NA,NA,NA
55205,465,1395,1,NA,NA,NA,NA
55206,1042,1636,1,NA,NA,NA,NA
55235,1047,1143,1,NA,NA,NA,NA
55236,1047,1309,1,NA,NA,NA,NA
55237,1047,737,1,NA,NA,NA,NA
55238,1047,494,1,NA,NA,NA,NA
55239,1047,830,1,NA,NA,NA,NA
55240,1047,744,1,NA,NA,NA,NA
55241,1047,420,1,NA,NA,NA,NA
55242,1047,1468,1,NA,NA,NA,NA
55243,1047,608,1,NA,NA,NA,NA
55244,1047,1465,1,NA,NA,NA,NA
55245,1047,405,1,NA,NA,NA,NA
55246,1047,1563,1,NA,NA,NA,NA
55247,1047,615,1,NA,NA,NA,NA
55248,1047,1430,1,NA,NA,NA,NA
55249,542,1563,1,NA,NA,NA,NA
55251,543,1452,1,NA,NA,NA,NA
55252,1048,1679,1,NA,NA,NA,NA
55253,1049,1465,1,NA,NA,NA,NA
56672,541,1468,1,NA,NA,NA,NA
56675,555,1684,1,NA,NA,NA,NA
56676,555,616,1,NA,NA,NA,NA
56677,555,266,1,NA,NA,NA,NA
56689,634,1129,1,NA,NA,NA,NA
56690,634,746,1,NA,NA,NA,NA
56691,635,1129,1,NA,NA,NA,NA
56692,635,772,1,NA,NA,NA,NA
56693,635,1942,1,NA,NA,NA,NA
56694,635,1064,1,NA,NA,NA,NA
56695,635,266,1,NA,NA,NA,NA
56773,633,266,1,NA,NA,NA,NA
56788,293,732,1,NA,NA,NA,NA
56789,293,1467,1,NA,NA,NA,NA
56816,581,1637,1,NA,NA,NA,NA
56817,581,1395,1,NA,NA,NA,NA
56818,585,1637,1,NA,NA,NA,NA
56819,585,1395,1,NA,NA,NA,NA
56831,587,419,1,NA,NA,NA,NA
56833,590,1489,1,NA,NA,NA,NA
56834,590,963,1,NA,NA,NA,NA
56835,590,1395,1,NA,NA,NA,NA
56836,590,1064,1,NA,NA,NA,NA
56838,540,1370,1,NA,NA,NA,NA
56839,540,1219,1,NA,NA,NA,NA
56857,564,1477,1,NA,NA,NA,NA
56858,564,1395,1,NA,NA,NA,NA
56859,564,1064,1,NA,NA,NA,NA
56860,564,1606,1,NA,NA,NA,NA
56861,564,1664,1,NA,NA,NA,NA
56862,564,1374,1,NA,NA,NA,NA
56863,564,977,1,NA,NA,NA,NA
56864,583,992,1,NA,NA,NA,NA
56865,583,1123,1,NA,NA,NA,NA
56868,591,857,1,NA,NA,NA,NA
56869,591,231,1,NA,NA,NA,NA
56870,591,1822,1,NA,NA,NA,NA
56871,591,962,1,NA,NA,NA,NA
56872,591,1666,1,NA,NA,NA,NA
56873,565,857,1,NA,NA,NA,NA
56874,565,231,1,NA,NA,NA,NA
56875,565,637,1,NA,NA,NA,NA
56876,565,1822,1,NA,NA,NA,NA
56877,565,1026,1,NA,NA,NA,NA
56878,565,1413,1,NA,NA,NA,NA
56879,565,1666,1,NA,NA,NA,NA
56948,602,876,1,NA,NA,NA,NA
56952,609,1066,1,NA,NA,NA,NA
56953,609,1049,1,NA,NA,NA,NA
56954,609,1503,1,NA,NA,NA,NA
56955,630,772,1,NA,NA,NA,NA
56956,630,1353,1,NA,NA,NA,NA
56957,630,1049,1,NA,NA,NA,NA
56958,630,876,1,NA,NA,NA,NA
56967,640,772,1,NA,NA,NA,NA
56968,640,736,1,NA,NA,NA,NA
56969,640,979,1,NA,NA,NA,NA
56974,651,1326,1,NA,NA,NA,NA
56975,651,1503,1,NA,NA,NA,NA
56976,651,772,1,NA,NA,NA,NA
56977,651,1129,1,NA,NA,NA,NA
56978,651,1070,1,NA,NA,NA,NA
56979,651,1049,1,NA,NA,NA,NA
56980,610,238,1,NA,NA,NA,NA
56981,610,1185,1,NA,NA,NA,NA
56982,610,1469,1,NA,NA,NA,NA
56983,610,1426,1,NA,NA,NA,NA
56984,605,1387,1,NA,NA,NA,NA
56987,598,1851,1,NA,NA,NA,NA
56988,598,1370,1,NA,NA,NA,NA
