id|agenda_legislativa_actividad_id|cuatrienio_id|legislatura_id|tipo_control_politico_id|estado_control_politico_id|titulo|fecha|tema_principal_id|tema_secundario_id|plenaria|tags|detalles|gacetas|numero_proposicion|activo|usercreated|usermodifed|created_at|updated_at
4965|98196|8|27|1|NA|sobre el cumplimiento de las disposiciones establecidas en la Ley 735 de 2002, “Por la cual se declaran monumentos nacionales, el Hospital San Juan de Dios y el Instituto Materno Infantil; se adoptan medidas para la educación universitaria y se dictan otras disposiciones”; lo formulado en el Plan Especial de Manejo y Protección -PEMP, aprobado por unanimidad por el Concejo Nacional de Patrimonio Cultural en la sesión del 18 de diciembre de 2015 y adoptado mediante Resolución No.0995 de abril de 2016, con el propósito de acometer “… las obras de remodelación, restauración y conservación del monumento nacional Hospital San Juan de Dios y del Instituto Materno Infantil, de tal manera que le permita funcionar como hospital universitario y centro especial para la educación universitaria en ciencias de la salud.|22/07/2020|5|73|FALSE|hospital san juan de dios|NA|NA|1|NA|NA|NA|NA|NA
4966|98219|8|27|1|NA|Explicar y manifestar las medidas adoptadas por el Gobierno Nacional para la reapertura económica del país y las estrategias de fortalecimiento institucional para la activación y aceleración de la industria.|13/08/2020|64|41|FALSE|reactivacion economica, covid 19|NA|NA|6, 8|NA|NA|NA|NA|NA
4967|98235|8|27|1|NA|Presente un informe de rendición de cuentas de los dos años de gobierno, en el que se incluya ejecución presupuestal, objetivos, metas, logros, etc., del Sena.|27/07/2020|2|138|FALSE|sena|NA|NA|1|NA|NA|NA|NA|NA
4968|98255|8|NA|1|NA|Seguimiento a la salud en medio del Covid 19.|NA|NA|NA|FALSE|NA|NA|NA|2, 3, 7, 15|NA|NA|NA|NA|NA
4969|98305|8|26|1|NA|Debate de control político sobre “Los hechos que se han venido presentando y que se configuran una afrenta a la soberanía de Colombia y la violación del Artículo 9 de la Constitución Política de Colombia. Entre los cuales se destacan: los entrenamientos militares en la frontera con Venezuela por parte de las FFMM de Estados Unidos y de las FFMM de Colombia en el Departamento de La Guajira, la presencia de Jordan Goudreau en territorio colombiano y las reuniones de Clíver Alcalá, la presencia de arsenal militar en territorio colombiano incautados en marzo del 2020 y la supuesta detención de las tres lanchas de la Armada Nacional de Colombia en territorio venezolano”.|27/05/2020|108|123|FALSE|venezuela|NA|NA|6|NA|NA|NA|NA|NA
4970|98377|8|27|1|NA|Ante la crítica situación como consecuencia de la erosión en la vía que comunica a las poblaciones de Salamina y el Piñón en el departamento del Magdalena, la cual pronostica desde ya un grave y alarmante riesgo social, económico y ambiental, se hace urgente la intervención del gobierno Nacional, con el propósito de evitar una tragedia en no menos de seis municipios circundantes de la zona con inundaciones que arrasarían con vías, cultivos, hogares y pérdida de vidas humanas, en proporciones mayores que las sucedidas en el año 2010 en el departamento del Atlántico. En este sentido, se citan para que expliquen desde su competencia y misión institucional las medidas adoptadas en el propósito de evitar una tragedia, las circunstancias que propiciaron la erosión y las respuestas de recuperación asociadas a la crisis.|02/09/2020|100|73|FALSE|vias, salmina, piñon. magdalena|NA|NA|26|NA|NA|NA|NA|NA
4971|98394|8|NA|3|NA|"Programa e informes al Congreso (Artículo 5 de la ley 31 de 1992 y los Artículos 233 y 249 de la Ley 5° de 1992)
"|NA|41|138|FALSE|informe banco de la republica|NA|NA|NA|NA|NA|NA|NA|NA
4972|98489|8|NA|1|NA|Responda el siguiente cuestionario sobre los derechos a la verdad, la justicia, el debido proceso de los ciudadanos sometidos a investigaciones en Colombia y las garantías procesales, así como los actos de corrupción y faltas a la moralidad en el sector justicia.|NA|11|122|FALSE|NA|NA|NA|32, 42|NA|NA|NA|NA|NA
4973|98499|8|27|1|NA|Informar a esta Comisión la situación de orden público en el Catatumbo y el Pacifico Nariñense.|25/08/2020|119|123|FALSE|catatumbo, pacifico nariñense|NA|NA|12|NA|NA|NA|NA|NA
4974|98514|8|NA|2|NA|Escuchar a la ciudadanía en relación al Proyecto de Ley No. 320 de 2020 Senado – 179 de 2019 Cámara Acumulado con el PL 212 de 2019 Cámara. “Por medio de la cual se prohíbe el uso del castigo físico, los tratos crueles, humillantes o degradantes y cualquier tipo de violencia como método de corrección contra niñas, niños y adolescentes y se dictan otras disposiciones”.|NA|95|116|FALSE|castigo fisico|NA|NA|49, 50|NA|NA|NA|NA|NA
4975|98517|8|NA|1|NA|Continuación estudio del Proyecto de Ley No. 296 de 2020 Cámara, 185 de 2020 Senado, “por la cual se decreta el Presupuesto de Rentas y Recursos de Capital y Ley de Apropiaciones para la vigencia fiscal del 1º de enero al 31 de diciembre de 2021”.|NA|133|41|FALSE|presupuesto general de la nacion 2021|NA|NA|NA|NA|NA|NA|NA|NA
4976|98528|8|27|1|NA|Informe sobre el impacto de la pandemia Covid-19 en el sistema educativo público y privado, acciones y lineamientos para la prestación del servicio de educación en casa y en presencialidad, bajo el esquema de alternancia propuesto por el Gobierno Nacional, y los resultados de las medidas de bioseguridad en la comunidad educativa para el regreso a clases.|05/08/2020|2|128|FALSE|sector educativo, covid 19, educacion presencial, regreso a clase|NA|NA|13, 27|NA|NA|NA|NA|NA
