id,control_politico_id,persona_id,asistencia_id,tipo_citado,activo,usercreated,usermodifed,created_at,updated_at
270,5078,16999,NA,1,1,NA,NA,NA,NA
271,5078,17107,NA,1,1,NA,NA,NA,NA
272,5078,17109,NA,1,1,NA,NA,NA,NA
273,5078,17110,NA,1,1,NA,NA,NA,NA
274,5078,17163,NA,1,1,NA,NA,NA,NA
275,5078,17209,NA,1,1,NA,NA,NA,NA
276,5078,17224,NA,1,1,NA,NA,NA,NA
277,5078,17234,NA,1,1,NA,NA,NA,NA
278,5077,14659,2,1,1,NA,NA,NA,NA
279,5077,15886,2,1,1,NA,NA,NA,NA
280,5077,16494,1,1,1,NA,NA,NA,NA
281,5077,16703,2,0,1,NA,NA,NA,NA
282,5077,16898,2,1,1,NA,NA,NA,NA
283,5077,16918,2,1,1,NA,NA,NA,NA
284,5076,16836,NA,1,1,NA,NA,NA,NA
285,5075,16894,1,1,1,NA,NA,NA,NA
286,5075,17071,2,1,1,NA,NA,NA,NA
287,5075,15130,2,1,1,NA,NA,NA,NA
288,5075,16969,2,1,1,NA,NA,NA,NA
289,5073,16703,NA,0,1,NA,NA,NA,NA
290,5073,16915,NA,1,1,NA,NA,NA,NA
291,5073,16935,NA,0,1,NA,NA,NA,NA
292,5073,16987,NA,1,1,NA,NA,NA,NA
293,5073,16996,NA,1,1,NA,NA,NA,NA
294,5073,17037,NA,1,1,NA,NA,NA,NA
295,5073,17246,NA,1,1,NA,NA,NA,NA
296,5071,16703,NA,0,1,NA,NA,NA,NA
297,5071,16935,NA,0,1,NA,NA,NA,NA
298,5071,16993,NA,1,1,NA,NA,NA,NA
299,5071,17065,NA,0,1,NA,NA,NA,NA
300,5071,17110,NA,0,1,NA,NA,NA,NA
301,5071,17125,NA,1,1,NA,NA,NA,NA
302,5071,17163,NA,1,1,NA,NA,NA,NA
303,5071,17169,NA,0,1,NA,NA,NA,NA
304,5071,17234,NA,0,1,NA,NA,NA,NA
305,5071,17205,NA,1,1,NA,NA,NA,NA
306,5071,17265,NA,1,1,NA,NA,NA,NA
307,5071,17266,NA,1,1,NA,NA,NA,NA
308,5071,17267,NA,1,1,NA,NA,NA,NA
309,5070,16703,2,0,1,NA,NA,NA,NA
310,5070,16935,2,0,1,NA,NA,NA,NA
311,5070,17074,1,1,1,NA,NA,NA,NA
312,5070,17114,1,1,1,NA,NA,NA,NA
313,5069,15243,1,1,1,NA,NA,NA,NA
314,5069,16360,1,1,1,NA,NA,NA,NA
315,5069,16826,1,1,1,NA,NA,NA,NA
316,5069,16836,1,1,1,NA,NA,NA,NA
317,5068,16898,1,1,1,NA,NA,NA,NA
318,5068,17109,1,1,1,NA,NA,NA,NA
319,5067,16621,NA,0,1,NA,NA,NA,NA
320,5067,17095,NA,1,1,NA,NA,NA,NA
321,5067,17104,NA,0,1,NA,NA,NA,NA
322,5067,17119,NA,1,1,NA,NA,NA,NA
323,5067,17178,NA,0,1,NA,NA,NA,NA
324,5066,17114,NA,1,1,NA,NA,NA,NA
