id,proyecto_ley_estado_id,comision_id,activo,usercreated,usermodifed,created_at,updated_at
370,29813,1,1,NA,NA,NA,NA
371,29827,14,1,NA,NA,NA,NA
372,29808,7,1,NA,NA,NA,NA
373,29826,14,1,NA,NA,NA,NA
375,29828,14,1,NA,NA,NA,NA
376,29822,10,1,NA,NA,NA,NA
377,30755,6,1,NA,NA,NA,NA
379,29754,1,1,NA,NA,NA,NA
380,29816,7,1,NA,NA,NA,NA
6294,36918,10,1,NA,NA,NA,NA
6295,36919,10,1,NA,NA,NA,NA
6296,26586,11,1,NA,NA,NA,NA
6297,25966,14,1,NA,NA,NA,NA
385,29803,4,1,NA,NA,NA,NA
388,29800,7,1,NA,NA,NA,NA
389,29819,1,1,NA,NA,NA,NA
390,29742,7,1,NA,NA,NA,NA
391,29802,7,1,NA,NA,NA,NA
392,29823,13,1,NA,NA,NA,NA
393,29799,11,1,NA,NA,NA,NA
395,29764,11,1,NA,NA,NA,NA
396,29762,1,1,NA,NA,NA,NA
397,29874,4,1,NA,NA,NA,NA
398,29763,11,1,NA,NA,NA,NA
399,29801,7,1,NA,NA,NA,NA
402,29790,5,1,NA,NA,NA,NA
404,29716,1,1,NA,NA,NA,NA
405,29718,1,1,NA,NA,NA,NA
406,29701,7,1,NA,NA,NA,NA
407,29712,12,1,NA,NA,NA,NA
408,29699,14,1,NA,NA,NA,NA
6300,25901,1,1,NA,NA,NA,NA
410,29732,4,1,NA,NA,NA,NA
13619,44653,2,1,NA,NA,NA,NA
13675,41441,3,1,NA,NA,NA,NA
413,29722,11,1,NA,NA,NA,NA
414,29784,6,1,NA,NA,NA,NA
416,29794,7,1,NA,NA,NA,NA
6871,16149,1,1,NA,NA,NA,NA
418,29741,6,1,NA,NA,NA,NA
419,29708,7,1,NA,NA,NA,NA
420,29782,1,1,NA,NA,NA,NA
421,29691,1,1,NA,NA,NA,NA
6872,16152,7,1,NA,NA,NA,NA
423,29832,1,1,NA,NA,NA,NA
424,29749,7,1,NA,NA,NA,NA
425,29746,1,1,NA,NA,NA,NA
426,29690,1,1,NA,NA,NA,NA
427,29707,7,1,NA,NA,NA,NA
428,29761,1,1,NA,NA,NA,NA
429,29685,11,1,NA,NA,NA,NA
430,29791,14,1,NA,NA,NA,NA
431,29735,6,1,NA,NA,NA,NA
433,29721,3,1,NA,NA,NA,NA
434,29734,6,1,NA,NA,NA,NA
435,29679,1,1,NA,NA,NA,NA
436,29686,7,1,NA,NA,NA,NA
437,29733,6,1,NA,NA,NA,NA
438,29736,12,1,NA,NA,NA,NA
13737,44726,1,1,NA,NA,NA,NA
440,29662,12,1,NA,NA,NA,NA
441,29669,14,1,NA,NA,NA,NA
13793,44778,2,1,NA,NA,NA,NA
443,29661,7,1,NA,NA,NA,NA
13830,43577,11,1,NA,NA,NA,NA
445,29656,10,1,NA,NA,NA,NA
446,29623,1,1,NA,NA,NA,NA
447,29558,1,1,NA,NA,NA,NA
449,29674,1,1,NA,NA,NA,NA
450,29680,11,1,NA,NA,NA,NA
451,29675,1,1,NA,NA,NA,NA
452,29673,1,1,NA,NA,NA,NA
453,29561,7,1,NA,NA,NA,NA
454,29865,4,1,NA,NA,NA,NA
455,29530,14,1,NA,NA,NA,NA
456,29639,3,1,NA,NA,NA,NA
13889,42468,11,1,NA,NA,NA,NA
458,29657,7,1,NA,NA,NA,NA
459,29731,7,1,NA,NA,NA,NA
460,29640,14,1,NA,NA,NA,NA
461,29670,1,1,NA,NA,NA,NA
462,29720,14,1,NA,NA,NA,NA
463,29678,7,1,NA,NA,NA,NA
464,29528,1,1,NA,NA,NA,NA
465,30468,2,1,NA,NA,NA,NA
466,29482,4,1,NA,NA,NA,NA
13930,44375,8,1,NA,NA,NA,NA
468,29730,7,1,NA,NA,NA,NA
469,29409,11,1,NA,NA,NA,NA
470,29389,14,1,NA,NA,NA,NA
471,29379,7,1,NA,NA,NA,NA
472,29378,1,1,NA,NA,NA,NA
473,29410,14,1,NA,NA,NA,NA
13981,44223,8,1,NA,NA,NA,NA
475,29391,3,1,NA,NA,NA,NA
476,29373,1,1,NA,NA,NA,NA
477,29376,7,1,NA,NA,NA,NA
14034,43825,7,1,NA,NA,NA,NA
479,29390,14,1,NA,NA,NA,NA
480,29380,7,1,NA,NA,NA,NA
481,30551,14,1,NA,NA,NA,NA
482,29357,11,1,NA,NA,NA,NA
483,29374,1,1,NA,NA,NA,NA
484,29418,1,1,NA,NA,NA,NA
485,29356,14,1,NA,NA,NA,NA
486,29719,1,1,NA,NA,NA,NA
487,29233,2,1,NA,NA,NA,NA
488,29483,4,1,NA,NA,NA,NA
489,29395,12,1,NA,NA,NA,NA
490,29234,1,1,NA,NA,NA,NA
491,29396,12,1,NA,NA,NA,NA
14082,44555,14,1,NA,NA,NA,NA
493,29413,7,1,NA,NA,NA,NA
6303,36924,6,1,NA,NA,NA,NA
6304,36925,7,1,NA,NA,NA,NA
496,29236,1,1,NA,NA,NA,NA
497,29408,14,1,NA,NA,NA,NA
498,29089,1,1,NA,NA,NA,NA
500,29096,1,1,NA,NA,NA,NA
501,29170,7,1,NA,NA,NA,NA
502,29072,1,1,NA,NA,NA,NA
503,29032,1,1,NA,NA,NA,NA
504,29381,1,1,NA,NA,NA,NA
505,28859,1,1,NA,NA,NA,NA
506,29047,9,1,NA,NA,NA,NA
507,28123,3,1,NA,NA,NA,NA
508,28408,7,1,NA,NA,NA,NA
509,28409,7,1,NA,NA,NA,NA
510,28179,1,1,NA,NA,NA,NA
511,28047,13,1,NA,NA,NA,NA
512,28406,7,1,NA,NA,NA,NA
513,28407,9,1,NA,NA,NA,NA
514,28180,1,1,NA,NA,NA,NA
515,28170,1,1,NA,NA,NA,NA
516,28009,13,1,NA,NA,NA,NA
518,28296,4,1,NA,NA,NA,NA
522,28024,6,1,NA,NA,NA,NA
523,28022,6,1,NA,NA,NA,NA
524,28026,6,1,NA,NA,NA,NA
530,27977,8,1,NA,NA,NA,NA
532,28033,14,1,NA,NA,NA,NA
534,28019,6,1,NA,NA,NA,NA
535,28018,6,1,NA,NA,NA,NA
538,28029,8,1,NA,NA,NA,NA
539,28027,8,1,NA,NA,NA,NA
543,28001,1,1,NA,NA,NA,NA
545,28132,3,1,NA,NA,NA,NA
546,28014,4,1,NA,NA,NA,NA
548,28102,1,1,NA,NA,NA,NA
549,28013,4,1,NA,NA,NA,NA
550,27979,14,1,NA,NA,NA,NA
551,28133,3,1,NA,NA,NA,NA
