id|votacion_id|proyecto_ley_estado_id|activo|usercreated|usermodifed|created_at|updated_at
1324|1703|25218|1|NA|NA|NA|NA
1325|1703|25164|1|NA|NA|NA|NA
66133|1812|27341|1|NA|NA|NA|NA
66134|1827|27341|1|NA|NA|NA|NA
66135|1789|27334|1|NA|NA|NA|NA
1330|1450|9698|1|NA|NA|NA|NA
1331|1474|10437|1|NA|NA|NA|NA
1332|1489|10179|1|NA|NA|NA|NA
1333|1490|9832|1|NA|NA|NA|NA
1334|1490|9866|1|NA|NA|NA|NA
1341|3219|28098|1|NA|NA|NA|NA
56404|2194|25562|1|NA|NA|NA|NA
56405|2196|25562|1|NA|NA|NA|NA
1348|6416|24765|1|NA|NA|NA|NA
1349|1482|10437|1|NA|NA|NA|NA
1350|1483|10437|1|NA|NA|NA|NA
1351|1487|10740|1|NA|NA|NA|NA
1352|1487|10741|1|NA|NA|NA|NA
1353|1484|10437|1|NA|NA|NA|NA
66136|1810|27341|1|NA|NA|NA|NA
12606|2339|27230|1|NA|NA|NA|NA
12607|2340|27230|1|NA|NA|NA|NA
1387|1447|9698|1|NA|NA|NA|NA
1392|2026|25218|1|NA|NA|NA|NA
1393|2026|25164|1|NA|NA|NA|NA
66137|1825|27341|1|NA|NA|NA|NA
1404|3756|29165|1|NA|NA|NA|NA
66138|2454|27341|1|NA|NA|NA|NA
1414|2396|28155|1|NA|NA|NA|NA
66139|1818|27341|1|NA|NA|NA|NA
1419|3304|37367|1|NA|NA|NA|NA
1421|2398|28155|1|NA|NA|NA|NA
66140|1814|27341|1|NA|NA|NA|NA
66141|1826|27341|1|NA|NA|NA|NA
1441|5278|27874|1|NA|NA|NA|NA
1442|5279|27875|1|NA|NA|NA|NA
1447|1436|28222|1|NA|NA|NA|NA
1454|5282|27875|1|NA|NA|NA|NA
1457|1468|10740|1|NA|NA|NA|NA
1458|1468|10741|1|NA|NA|NA|NA
1461|3307|30123|1|NA|NA|NA|NA
1472|1434|9707|1|NA|NA|NA|NA
1477|5284|27875|1|NA|NA|NA|NA
1482|1706|25218|1|NA|NA|NA|NA
1483|1706|25164|1|NA|NA|NA|NA
1484|2495|28034|1|NA|NA|NA|NA
1487|3309|37358|1|NA|NA|NA|NA
104724|13126|50393|1|NA|NA|NA|NA
1495|3521|29846|1|NA|NA|NA|NA
1498|6417|24765|1|NA|NA|NA|NA
104725|13125|50393|1|NA|NA|NA|NA
104726|13124|50393|1|NA|NA|NA|NA
66142|1808|27341|1|NA|NA|NA|NA
1509|1698|25218|1|NA|NA|NA|NA
1510|1698|25164|1|NA|NA|NA|NA
1511|2399|28155|1|NA|NA|NA|NA
1518|1480|10437|1|NA|NA|NA|NA
104727|13100|50393|1|NA|NA|NA|NA
1541|3125|25062|1|NA|NA|NA|NA
1542|3126|25062|1|NA|NA|NA|NA
1543|3127|25062|1|NA|NA|NA|NA
1544|3128|25062|1|NA|NA|NA|NA
1545|3129|25062|1|NA|NA|NA|NA
1546|3130|25063|1|NA|NA|NA|NA
1547|3131|25063|1|NA|NA|NA|NA
1548|3132|25063|1|NA|NA|NA|NA
1549|3133|25063|1|NA|NA|NA|NA
1550|3134|25063|1|NA|NA|NA|NA
66143|2452|27341|1|NA|NA|NA|NA
66144|1807|27341|1|NA|NA|NA|NA
66145|1811|27341|1|NA|NA|NA|NA
66146|1819|27341|1|NA|NA|NA|NA
66147|1794|27336|1|NA|NA|NA|NA
66148|1809|27341|1|NA|NA|NA|NA
66149|2405|27341|1|NA|NA|NA|NA
66150|2408|27341|1|NA|NA|NA|NA
66151|2446|27341|1|NA|NA|NA|NA
1578|2977|27520|1|NA|NA|NA|NA
1579|3159|27520|1|NA|NA|NA|NA
16481|2836|25712|1|NA|NA|NA|NA
16482|2710|27441|1|NA|NA|NA|NA
16483|2308|27183|1|NA|NA|NA|NA
16484|2834|25712|1|NA|NA|NA|NA
16485|6489|27441|1|NA|NA|NA|NA
104728|12369|49037|1|NA|NA|NA|NA
1586|3177|27598|1|NA|NA|NA|NA
1587|3757|29165|1|NA|NA|NA|NA
1588|3178|27598|1|NA|NA|NA|NA
1589|3176|27598|1|NA|NA|NA|NA
1590|3189|27865|1|NA|NA|NA|NA
1591|3190|27865|1|NA|NA|NA|NA
1592|3191|27865|1|NA|NA|NA|NA
1593|3192|27865|1|NA|NA|NA|NA
1595|3193|27865|1|NA|NA|NA|NA
1625|2400|28155|1|NA|NA|NA|NA
66152|2461|27341|1|NA|NA|NA|NA
1637|2106|25559|1|NA|NA|NA|NA
1642|6464|30641|1|NA|NA|NA|NA
