id,fecha,fecha_realizada,comentarios,cuatrienio_id,realizado,activo,usercreated,usermodifed,created_at,updated_at
9585,24/05/2017 15:30,24/05/2017,NA,7,NA,1,NA,NA,NA,NA
9566,23/05/2017 19:00,23/05/2017,NA,7,NA,1,NA,NA,NA,NA
9510,09/05/2017 14:30,09/05/2017,Procedimiento legislativo especial para la paz,7,NA,1,NA,NA,NA,NA
9615,01/06/2017 13:00,01/06/2017,NA,7,NA,1,NA,NA,NA,NA
9558,17/05/2017 14:30,17/05/2017,NA,7,NA,1,NA,NA,NA,NA
9559,23/05/2017 15:00,NA,NA,7,NA,1,NA,NA,NA,NA
9526,10/05/2017 15:00,10/05/2017,NA,7,NA,1,NA,NA,NA,NA
9557,17/05/2017 14:00,17/05/2017,NA,7,NA,1,NA,NA,NA,NA
9519,09/05/2017 15:00,NA,Información obtenida de la agenda general de Senado,7,NA,1,NA,NA,NA,NA
9541,17/05/2017 13:30,17/05/2017,NA,7,NA,1,NA,NA,NA,NA
9548,16/05/2017 17:30,16/05/2017,NA,7,NA,1,NA,NA,NA,NA
9549,17/05/2017 15:00,NA,NA,7,NA,1,NA,NA,NA,NA
9494,02/05/2017 19:00,02/05/2017,NA,7,NA,1,NA,NA,NA,NA
9567,22/05/2017 20:00,22/05/2017,NA,7,NA,1,NA,NA,NA,NA
9593,30/05/2017 14:00,30/05/2017,NA,7,NA,1,NA,NA,NA,NA
9603,30/05/2017 15:00,30/05/2017,NA,7,NA,1,NA,NA,NA,NA
9553,17/05/2017 14:30,17/05/2017,NA,7,NA,1,NA,NA,NA,NA
9575,23/05/2017 15:00,23/05/2017,NA,7,NA,1,NA,NA,NA,NA
9554,17/05/2017 20:00,17/05/2017,NA,7,NA,1,NA,NA,NA,NA
9594,31/05/2017 15:00,NA,NA,7,NA,1,NA,NA,NA,NA
9540,16/05/2017 14:30,16/05/2017,NA,7,NA,1,NA,NA,NA,NA
9570,24/05/2017 15:00,NA,NA,7,NA,1,NA,NA,NA,NA
9536,16/05/2017 20:00,16/05/2017,Duplicado,7,NA,1,NA,NA,NA,NA
9571,24/05/2017 14:00,NA,NA,7,NA,1,NA,NA,NA,NA
9555,17/05/2017 15:30,NA,NA,7,NA,1,NA,NA,NA,NA
9612,06/06/2017 15:00,06/06/2017,NA,7,NA,1,NA,NA,NA,NA
9619,06/06/2017 15:00,06/06/2017,NA,7,NA,1,NA,NA,NA,NA
9624,06/06/2017 15:00,06/06/2017,NA,7,NA,1,NA,NA,NA,NA
9568,22/05/2017 14:00,NA,NA,7,NA,1,NA,NA,NA,NA
9508,10/05/2017 14:00,10/05/2017,NA,7,NA,1,NA,NA,NA,NA
9590,31/05/2017 14:00,31/05/2017,NA,7,NA,1,NA,NA,NA,NA
9552,17/05/2017 14:00,17/05/2017,NA,7,NA,1,NA,NA,NA,NA
9595,31/05/2017 15:00,31/05/2017,NA,7,NA,1,NA,NA,NA,NA
9550,17/05/2017 19:00,17/05/2017,NA,7,NA,1,NA,NA,NA,NA
9501,03/05/2017 15:00,03/05/2017,NA,7,NA,1,NA,NA,NA,NA
9607,31/05/2017 15:00,31/05/2017,NA,7,NA,1,NA,NA,NA,NA
9569,23/05/2017 14:00,23/05/2017,NA,7,NA,1,NA,NA,NA,NA
9565,23/05/2017 15:00,23/05/2017,NA,7,NA,1,NA,NA,NA,NA
9609,31/05/2017 14:30,31/05/2017,NA,7,NA,1,NA,NA,NA,NA
9584,24/05/2017 20:00,24/05/2017,NA,7,NA,1,NA,NA,NA,NA
9600,31/05/2017 15:00,31/05/2017,NA,7,NA,1,NA,NA,NA,NA
9579,24/05/2017 14:30,NA,NA,7,NA,1,NA,NA,NA,NA
9589,30/05/2017 15:00,30/05/2017,NA,7,NA,1,NA,NA,NA,NA
9556,17/05/2017 13:00,17/05/2017,NA,7,NA,1,NA,NA,NA,NA
9511,09/05/2017 15:00,09/05/2017,NA,7,NA,1,NA,NA,NA,NA
9608,31/05/2017 15:00,31/05/2017,NA,7,NA,1,NA,NA,NA,NA
9591,30/05/2017 20:00,30/05/2017,NA,7,NA,1,NA,NA,NA,NA
9605,01/06/2017 14:00,01/06/2017,NA,7,NA,1,NA,NA,NA,NA
9598,31/05/2017 15:00,NA,NA,7,NA,1,NA,NA,NA,NA
9592,30/05/2017 14:30,30/05/2017,NA,7,NA,1,NA,NA,NA,NA
9628,06/06/2017 15:00,06/06/2017,NA,7,NA,1,NA,NA,NA,NA
9561,23/05/2017 15:00,NA,NA,7,NA,1,NA,NA,NA,NA
9601,31/05/2017 15:00,NA,NA,7,NA,1,NA,NA,NA,NA
9620,06/06/2017 15:00,06/06/2017,NA,7,NA,1,NA,NA,NA,NA
9498,03/05/2017 14:00,03/05/2017,NA,7,NA,1,NA,NA,NA,NA
9626,07/06/2017 15:00,07/06/2017,NA,7,NA,1,NA,NA,NA,NA
9522,11/05/2017 14:00,11/05/2017,NA,7,NA,1,NA,NA,NA,NA
9506,02/05/2017 15:00,02/05/2017,NA,7,NA,1,NA,NA,NA,NA
9618,06/06/2017 21:00,06/06/2017,Se pasó de las 3 a las 4 PM,7,NA,1,NA,NA,NA,NA
9614,06/06/2017 15:00,06/06/2017,NA,7,NA,1,NA,NA,NA,NA
