id,proyecto_ley_id,congresista_id,activo,usercreated,usermodifed,created_at,updated_at
12344,4907,724,1,,,,
12345,4907,192,1,,,,
12346,4907,781,1,,,,
12347,4907,820,1,,,,
12348,4907,860,1,,,,
12350,4907,92,1,,,,
12351,4907,1009,1,,,,
12352,4908,323,1,,,,
12353,4908,4,1,,,,
12354,4908,370,1,,,,
12355,4908,114,1,,,,
12356,4908,644,1,,,,
12357,4908,659,1,,,,
12358,4908,753,1,,,,
12359,4908,192,1,,,,
12360,4908,811,1,,,,
12361,4908,820,1,,,,
12362,4908,849,1,,,,
12363,4908,854,1,,,,
12364,4908,904,1,,,,
12365,4908,916,1,,,,
12366,4908,925,1,,,,
12368,4908,957,1,,,,
12369,4908,92,1,,,,
12370,4909,6,1,,,,
12371,4909,388,1,,,,
12372,4909,47,1,,,,
12373,4909,738,1,,,,
12374,4909,766,1,,,,
12375,4909,1035,1,,,,
12376,4910,6,1,,,,
12377,4910,391,1,,,,
12379,4910,50,1,,,,
12380,4910,731,1,,,,
12381,4910,733,1,,,,
12382,4910,841,1,,,,
12384,4910,817,1,,,,
12385,4910,1026,1,,,,
12411,4914,834,1,,,,
12413,4914,963,1,,,,
12414,4915,345,1,,,,
12415,4915,9,1,,,,
12416,4915,490,1,,,,
12418,4915,820,1,,,,
12419,4915,210,1,,,,
12420,4915,925,1,,,,
12422,4915,957,1,,,,
12424,4916,369,1,,,,
12425,4916,457,1,,,,
12426,4916,499,1,,,,
12428,4916,670,1,,,,
12429,4916,690,1,,,,
12430,4916,724,1,,,,
12431,4916,904,1,,,,
12432,4916,916,1,,,,
12434,4916,1024,1,,,,
12435,4917,9,1,,,,
12436,4917,400,1,,,,
12437,4917,409,1,,,,
12438,4917,483,1,,,,
12439,4917,493,1,,,,
12440,4917,722,1,,,,
12441,4917,775,1,,,,
12442,4918,400,1,,,,
12443,4918,422,1,,,,
12444,4918,471,1,,,,
12445,4918,670,1,,,,
12446,4918,709,1,,,,
12447,4918,763,1,,,,
12448,4918,842,1,,,,
12449,4918,879,1,,,,
12450,4918,884,1,,,,
12452,4918,947,1,,,,
12453,4919,435,1,,,,
12454,4919,902,1,,,,
12455,4919,903,1,,,,
12457,4920,320,1,,,,
12459,4920,333,1,,,,
12460,4920,467,1,,,,
12462,4920,644,1,,,,
12463,4920,787,1,,,,
12464,4920,207,1,,,,
12465,4920,884,1,,,,
12467,4920,1004,1,,,,
12469,4921,407,1,,,,
12470,4921,457,1,,,,
12472,4921,644,1,,,,
12473,4921,690,1,,,,
12474,4921,904,1,,,,
12476,4921,940,1,,,,
12477,4922,411,1,,,,
12478,4922,422,1,,,,
12479,4922,435,1,,,,
12480,4922,605,1,,,,
12481,4922,765,1,,,,
12482,4922,786,1,,,,
12484,4923,400,1,,,,
12485,4923,407,1,,,,
12486,4923,422,1,,,,
12487,4923,471,1,,,,
12488,4923,709,1,,,,
12489,4923,720,1,,,,
12490,4923,842,1,,,,
12491,4923,860,1,,,,
12492,4923,879,1,,,,
12493,4923,884,1,,,,
12495,4923,947,1,,,,
12496,4573,1024,1,,,,
12497,4575,419,1,,,,
12499,4578,596,1,,,,
12500,4579,483,1,,,,
12501,4580,58,1,,,,
12502,4581,734,1,,,,
12505,4585,124,1,,,,
12507,4587,388,1,,,,
12508,4589,338,1,,,,
12509,4590,338,1,,,,
12510,4591,91,1,,,,
