id,agenda_legislativa,comision_id,corporacion_id,activo,usercreated,usermodifed,created_at,updated_at
2972,9493,5,1,1,NA,NA,NA,NA
2973,9492,5,1,1,NA,NA,NA,NA
2974,9491,1,1,1,NA,NA,NA,NA
2975,9490,11,1,1,NA,NA,NA,NA
2976,9488,6,2,1,NA,NA,NA,NA
2977,9487,4,2,1,NA,NA,NA,NA
2978,9486,2,2,1,NA,NA,NA,NA
2979,9485,12,2,1,NA,NA,NA,NA
2980,9483,7,2,1,NA,NA,NA,NA
2981,9482,7,2,1,NA,NA,NA,NA
2982,9478,14,1,1,NA,NA,NA,NA
2983,9477,1,1,1,NA,NA,NA,NA
2984,9476,7,2,1,NA,NA,NA,NA
2985,9475,7,2,1,NA,NA,NA,NA
2986,9474,14,1,1,NA,NA,NA,NA
2987,9473,8,1,1,NA,NA,NA,NA
2988,9472,13,1,1,NA,NA,NA,NA
2989,9471,14,1,1,NA,NA,NA,NA
2990,9469,3,1,1,NA,NA,NA,NA
2991,9467,5,1,1,NA,NA,NA,NA
2992,9464,4,2,1,NA,NA,NA,NA
2993,9463,9,2,1,NA,NA,NA,NA
2994,9462,2,2,1,NA,NA,NA,NA
2995,9461,9,2,1,NA,NA,NA,NA
2996,9460,12,2,1,NA,NA,NA,NA
2997,9459,4,2,1,NA,NA,NA,NA
2998,9458,7,2,1,NA,NA,NA,NA
2999,9457,3,1,1,NA,NA,NA,NA
3000,9456,5,1,1,NA,NA,NA,NA
3001,9455,1,1,1,NA,NA,NA,NA
3002,9454,11,1,1,NA,NA,NA,NA
3003,9453,3,1,1,NA,NA,NA,NA
3004,9452,6,2,1,NA,NA,NA,NA
3005,9451,5,1,1,NA,NA,NA,NA
3006,9448,8,1,1,NA,NA,NA,NA
